,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
366,FLORESVILLE ISD,247901,E,Independent Town,32,Town-Distant,N
367,FLOUR BLUFF ISD,178914,D,Other Central City Suburban,11,City-Large,N
368,FLOYDADA ISD,77901,H,Rural,41,Rural-Fringe,N
369,FOLLETT ISD,148902,H,Rural,43,Rural-Remote,N
370,FORESTBURG ISD,169910,H,Rural,43,Rural-Remote,N
371,FORNEY ISD,129902,B,Major Suburban,41,Rural-Fringe,N
372,FORSAN ISD,114904,H,Rural,42,Rural-Distant,N
373,FORT BEND ISD,79907,B,Major Suburban,21,Suburb-Large,N
374,FORT ELLIOTT CISD,242906,H,Rural,43,Rural-Remote,N
375,FORT STOCKTON ISD,186902,G,Non-metropolitan Stable,33,Town-Remote,N
376,FORT WORTH ACADEMY OF FINE ARTS,220809,I,Charter School Districts,11,City-Large,Y
377,FORT WORTH ISD,220905,A,Major Urban,11,City-Large,N
378,FRANKLIN ISD,198903,D,Other Central City Suburban,42,Rural-Distant,N
379,FRANKSTON ISD,1904,H,Rural,42,Rural-Distant,N
380,FREDERICKSBURG ISD,86901,E,Independent Town,33,Town-Remote,N
381,FREER ISD,66903,H,Rural,43,Rural-Remote,N
382,FRENSHIP ISD,152907,D,Other Central City Suburban,22,Suburb-Midsize,N
383,FRIENDSWOOD ISD,84911,G,Non-metropolitan Stable,21,Suburb-Large,N
384,FRIONA ISD,185903,G,Non-metropolitan Stable,33,Town-Remote,N
385,FRISCO ISD,43905,C,Other Central City,21,Suburb-Large,N
386,FROST ISD,175905,H,Rural,42,Rural-Distant,N
387,FRUITVALE ISD,234909,H,Rural,42,Rural-Distant,N
388,FT DAVIS ISD,122901,H,Rural,43,Rural-Remote,N
389,FT HANCOCK ISD,115901,H,Rural,43,Rural-Remote,N
390,FT SAM HOUSTON ISD,15914,G,Non-metropolitan Stable,11,City-Large,N
391,GAINESVILLE ISD,49901,E,Independent Town,41,Rural-Fringe,N
392,GALENA PARK ISD,101910,B,Major Suburban,21,Suburb-Large,N
393,GALVESTON ISD,84902,C,Other Central City,31,Town-Fringe,N
394,GANADO ISD,120902,H,Rural,42,Rural-Distant,N
395,GARLAND ISD,57909,B,Major Suburban,21,Suburb-Large,N
396,GARNER ISD,184911,H,Rural,42,Rural-Distant,N
397,GARRISON ISD,174903,H,Rural,43,Rural-Remote,N
398,GARY ISD,183904,H,Rural,42,Rural-Distant,N
399,GATESVILLE ISD,50902,D,Other Central City Suburban,32,Town-Distant,N
400,GATEWAY ACADEMY CHARTER DISTRICT,240801,I,Charter School Districts,11,City-Large,Y
401,GATEWAY CHARTER ACADEMY,57831,I,Charter School Districts,11,City-Large,Y
402,GAUSE ISD,166902,H,Rural,42,Rural-Distant,N
403,GEORGE GERVIN ACADEMY,15802,I,Charter School Districts,11,City-Large,Y
404,GEORGE I SANCHEZ CHARTER,101804,I,Charter School Districts,11,City-Large,Y
405,GEORGE WEST ISD,149901,G,Non-metropolitan Stable,43,Rural-Remote,N
406,GEORGETOWN ISD,246904,C,Other Central City,21,Suburb-Large,N
407,GHOLSON ISD,161925,H,Rural,42,Rural-Distant,N
408,GIDDINGS ISD,144901,G,Non-metropolitan Stable,41,Rural-Fringe,N
409,GILMER ISD,230902,D,Other Central City Suburban,41,Rural-Fringe,N
410,GLADEWATER ISD,92901,D,Other Central City Suburban,23,Suburb-Small,N
411,GLASSCOCK COUNTY ISD,87901,H,Rural,43,Rural-Remote,N
412,GLEN ROSE ISD,213901,G,Non-metropolitan Stable,42,Rural-Distant,N
413,GODLEY ISD,126911,B,Major Suburban,42,Rural-Distant,N
414,GOLD BURG ISD,169906,H,Rural,42,Rural-Distant,N
415,GOLDEN RULE CHARTER SCHOOL,57835,I,Charter School Districts,11,City-Large,Y
416,GOLDTHWAITE ISD,167901,H,Rural,43,Rural-Remote,N
417,GOLIAD ISD,88902,G,Non-metropolitan Stable,42,Rural-Distant,N
418,GONZALES ISD,89901,G,Non-metropolitan Stable,32,Town-Distant,N
419,GOODRICH ISD,187903,H,Rural,42,Rural-Distant,N
420,GOODWATER MONTESSORI SCHOOL,246802,I,Charter School Districts,21,Suburb-Large,Y
421,GOOSE CREEK CISD,101911,B,Major Suburban,13,City-Small,N
422,GORDON ISD,182901,H,Rural,43,Rural-Remote,N
423,GORMAN ISD,67904,H,Rural,43,Rural-Remote,N
424,GRADY ISD,156905,H,Rural,42,Rural-Distant,N
425,GRAFORD ISD,182902,H,Rural,43,Rural-Remote,N
426,GRAHAM ISD,252901,G,Non-metropolitan Stable,33,Town-Remote,N
427,GRANBURY ISD,111901,D,Other Central City Suburban,32,Town-Distant,N
428,GRAND PRAIRIE ISD,57910,B,Major Suburban,21,Suburb-Large,N
429,GRAND SALINE ISD,234904,G,Non-metropolitan Stable,32,Town-Distant,N
430,GRANDFALLS-ROYALTY ISD,238904,H,Rural,43,Rural-Remote,N
431,GRANDVIEW ISD,126904,G,Non-metropolitan Stable,42,Rural-Distant,N
432,GRANDVIEW-HOPKINS ISD,90905,H,Rural,43,Rural-Remote,N
433,GRANGER ISD,246905,H,Rural,42,Rural-Distant,N
434,GRAPE CREEK ISD,226907,D,Other Central City Suburban,41,Rural-Fringe,N
435,GRAPELAND ISD,113902,H,Rural,43,Rural-Remote,N
436,GRAPEVINE-COLLEYVILLE ISD,220906,B,Major Suburban,21,Suburb-Large,N
437,GREAT HEARTS TEXAS,15835,I,Charter School Districts,11,City-Large,Y
438,GREENVILLE ISD,116905,E,Independent Town,32,Town-Distant,N
439,GREENWOOD ISD,165902,D,Other Central City Suburban,42,Rural-Distant,N
440,GREGORY-PORTLAND ISD,205902,D,Other Central City Suburban,21,Suburb-Large,N
441,GROESBECK ISD,147902,G,Non-metropolitan Stable,41,Rural-Fringe,N
442,GROOM ISD,33901,H,Rural,43,Rural-Remote,N
443,GROVETON ISD,228901,H,Rural,43,Rural-Remote,N
444,GRUVER ISD,98901,H,Rural,43,Rural-Remote,N
445,GUNTER ISD,91917,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
446,GUSTINE ISD,47903,H,Rural,43,Rural-Remote,N
447,GUTHRIE CSD,135001,H,Rural,43,Rural-Remote,N
448,HALE CENTER ISD,95903,H,Rural,42,Rural-Distant,N
449,HALLETTSVILLE ISD,143901,G,Non-metropolitan Stable,43,Rural-Remote,N
450,HALLSBURG ISD,161924,H,Rural,42,Rural-Distant,N
451,HALLSVILLE ISD,102904,D,Other Central City Suburban,31,Town-Fringe,N
452,HAMILTON ISD,97902,H,Rural,33,Town-Remote,N
453,HAMLIN ISD,127903,H,Rural,43,Rural-Remote,N
454,HAMSHIRE-FANNETT ISD,123914,D,Other Central City Suburban,42,Rural-Distant,N
455,HAPPY ISD,219901,H,Rural,42,Rural-Distant,N
456,HARDIN ISD,146904,G,Non-metropolitan Stable,42,Rural-Distant,N
457,HARDIN-JEFFERSON ISD,100905,D,Other Central City Suburban,42,Rural-Distant,N
458,HARLANDALE ISD,15904,B,Major Suburban,11,City-Large,N
459,HARLETON ISD,102905,H,Rural,42,Rural-Distant,N
460,HARLINGEN CISD,31903,D,Other Central City Suburban,13,City-Small,N
461,HARMONY ISD,230905,E,Independent Town,42,Rural-Distant,N
462,HARMONY SCHOOL OF EXCELLENCE,101858,I,Charter School Districts,11,City-Large,Y
463,HARMONY SCHOOL OF SCIENCE - HOUSTO,101862,I,Charter School Districts,13,City-Small,Y
464,HARMONY SCIENCE ACAD (EL PASO),71806,I,Charter School Districts,11,City-Large,Y
465,HARMONY SCIENCE ACAD (SAN ANTONIO),15828,I,Charter School Districts,11,City-Large,Y
466,HARMONY SCIENCE ACAD (WACO),161807,I,Charter School Districts,21,Suburb-Large,Y
467,HARMONY SCIENCE ACADEMY,101846,I,Charter School Districts,11,City-Large,Y
468,HARMONY SCIENCE ACADEMY (AUSTIN),227816,I,Charter School Districts,11,City-Large,Y
469,HARPER ISD,86902,H,Rural,43,Rural-Remote,N
470,HARRIS COUNTY DEPT OF ED,101000,,,21,Suburb-Large,N
471,HARROLD ISD,244901,H,Rural,42,Rural-Distant,N
472,HART ISD,35902,H,Rural,43,Rural-Remote,N
473,HARTLEY ISD,103902,H,Rural,43,Rural-Remote,N
474,HARTS BLUFF ISD,225907,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
475,HASKELL CISD,104901,H,Rural,41,Rural-Fringe,N
476,HAWKINS ISD,250902,H,Rural,42,Rural-Distant,N
477,HAWLEY ISD,127904,H,Rural,42,Rural-Distant,N
478,HAYS CISD,105906,B,Major Suburban,21,Suburb-Large,N
479,HEARNE ISD,198905,H,Rural,32,Town-Distant,N
480,HEDLEY ISD,65902,H,Rural,43,Rural-Remote,N
481,HEMPHILL ISD,202903,G,Non-metropolitan Stable,43,Rural-Remote,N
482,HEMPSTEAD ISD,237902,G,Non-metropolitan Stable,32,Town-Distant,N
483,HENDERSON ISD,201902,E,Independent Town,32,Town-Distant,N
484,HENRIETTA ISD,39902,D,Other Central City Suburban,41,Rural-Fringe,N
485,HENRY FORD ACADEMY ALAMEDA SCHOOL,15833,I,Charter School Districts,11,City-Large,Y
486,HEREFORD ISD,59901,D,Other Central City Suburban,32,Town-Distant,N
487,HERITAGE ACADEMY,15815,I,Charter School Districts,33,Town-Remote,Y
488,HERMLEIGH ISD,208901,H,Rural,42,Rural-Distant,N
489,HICO ISD,97903,H,Rural,43,Rural-Remote,N
490,HIDALGO ISD,108905,D,Other Central City Suburban,21,Suburb-Large,N
491,HIGGINS ISD,148903,H,Rural,43,Rural-Remote,N
492,HIGH ISLAND ISD,84903,H,Rural,43,Rural-Remote,N
493,HIGH POINT ACADEMY,220819,I,Charter School Districts,21,Suburb-Large,Y
494,HIGHLAND ISD,177905,H,Rural,42,Rural-Distant,N
495,HIGHLAND PARK ISD,57911,B,Major Suburban,21,Suburb-Large,N
496,HIGHLAND PARK ISD,188903,H,Rural,41,Rural-Fringe,N
497,HILLSBORO ISD,109904,E,Independent Town,32,Town-Distant,N
498,HITCHCOCK ISD,84908,D,Other Central City Suburban,22,Suburb-Midsize,N
499,HOLLAND ISD,14905,H,Rural,42,Rural-Distant,N
500,HOLLIDAY ISD,5902,D,Other Central City Suburban,42,Rural-Distant,N
501,HONDO ISD,163904,G,Non-metropolitan Stable,32,Town-Distant,N
502,HONEY GROVE ISD,74907,H,Rural,43,Rural-Remote,N
503,HOOKS ISD,19902,G,Non-metropolitan Stable,31,Town-Fringe,N
504,HORIZON MONTESSORI PUBLIC SCHOOLS,108802,I,Charter School Districts,12,City-Midsize,Y
505,HOUSTON GATEWAY ACADEMY INC,101828,I,Charter School Districts,11,City-Large,Y
506,HOUSTON HEIGHTS HIGH SCHOOL,101821,I,Charter School Districts,11,City-Large,Y
507,HOUSTON ISD,101912,A,Major Urban,11,City-Large,N
508,HOWE ISD,91905,D,Other Central City Suburban,42,Rural-Distant,N
509,HUBBARD ISD,19913,H,Rural,42,Rural-Distant,N
510,HUBBARD ISD,109905,H,Rural,42,Rural-Distant,N
511,HUCKABAY ISD,72908,H,Rural,42,Rural-Distant,N
512,HUDSON ISD,3902,G,Non-metropolitan Stable,33,Town-Remote,N
513,HUFFMAN ISD,101925,G,Non-metropolitan Stable,41,Rural-Fringe,N
514,HUGHES SPRINGS ISD,34903,E,Independent Town,32,Town-Distant,N
515,HULL-DAISETTA ISD,146905,H,Rural,42,Rural-Distant,N
516,HUMBLE ISD,101913,B,Major Suburban,21,Suburb-Large,N
517,HUNT ISD,133902,H,Rural,42,Rural-Distant,N
518,HUNTINGTON ISD,3904,G,Non-metropolitan Stable,42,Rural-Distant,N
519,HUNTSVILLE ISD,236902,E,Independent Town,32,Town-Distant,N
520,HURST-EULESS-BEDFORD ISD,220916,B,Major Suburban,21,Suburb-Large,N
521,HUTTO ISD,246906,D,Other Central City Suburban,21,Suburb-Large,N
522,IDALOU ISD,152910,D,Other Central City Suburban,42,Rural-Distant,N
523,IDEA PUBLIC SCHOOLS,108807,I,Charter School Districts,11,City-Large,Y
524,IMAGINE INTERNATIONAL ACADEMY OF N,43801,I,Charter School Districts,22,Suburb-Midsize,Y
525,INDUSTRIAL ISD,120905,G,Non-metropolitan Stable,42,Rural-Distant,N
526,INGLESIDE ISD,205903,D,Other Central City Suburban,31,Town-Fringe,N
527,INGRAM ISD,133904,G,Non-metropolitan Stable,41,Rural-Fringe,N
528,INSPIRE ACADEMIES,15808,I,Charter School Districts,11,City-Large,Y
529,INSPIRED VISION ACADEMY,57830,I,Charter School Districts,11,City-Large,Y
530,INTERNATIONAL LEADERSHIP OF TEXAS,57848,I,Charter School Districts,21,Suburb-Large,Y
531,IOLA ISD,93903,H,Rural,42,Rural-Distant,N
532,IOWA PARK CISD,243903,D,Other Central City Suburban,31,Town-Fringe,N
533,IRA ISD,208903,H,Rural,42,Rural-Distant,N
534,IRAAN-SHEFFIELD ISD,186903,H,Rural,43,Rural-Remote,N
535,IREDELL ISD,18906,H,Rural,43,Rural-Remote,N
536,IRION COUNTY ISD,118902,H,Rural,42,Rural-Distant,N
537,IRVING ISD,57912,B,Major Suburban,12,City-Midsize,N
538,ITALY ISD,70907,H,Rural,42,Rural-Distant,N
539,ITASCA ISD,109907,H,Rural,42,Rural-Distant,N
540,JACKSBORO ISD,119902,G,Non-metropolitan Stable,33,Town-Remote,N
541,JACKSONVILLE ISD,37904,E,Independent Town,32,Town-Distant,N
542,JARRELL ISD,246907,D,Other Central City Suburban,42,Rural-Distant,N
543,JASPER ISD,121904,E,Independent Town,33,Town-Remote,N
544,JAYTON-GIRARD ISD,132902,H,Rural,43,Rural-Remote,N
545,JEAN MASSIEU ACADEMY,57819,I,Charter School Districts,11,City-Large,Y
546,JEFFERSON ISD,155901,G,Non-metropolitan Stable,42,Rural-Distant,N
547,JIM HOGG COUNTY ISD,124901,G,Non-metropolitan Stable,33,Town-Remote,N
548,JIM NED CISD,221911,G,Non-metropolitan Stable,42,Rural-Distant,N
549,JOAQUIN ISD,210902,H,Rural,43,Rural-Remote,N
550,JOHNSON CITY ISD,16901,H,Rural,42,Rural-Distant,N
551,JONESBORO ISD,50909,E,Independent Town,43,Rural-Remote,N
552,JOSHUA ISD,126905,D,Other Central City Suburban,41,Rural-Fringe,N
553,JOURDANTON ISD,7902,G,Non-metropolitan Stable,32,Town-Distant,N
554,JUBILEE ACADEMIES,15822,I,Charter School Districts,11,City-Large,Y
555,JUDSON ISD,15916,B,Major Suburban,21,Suburb-Large,N
556,JUNCTION ISD,134901,H,Rural,33,Town-Remote,N
557,KARNACK ISD,102901,H,Rural,42,Rural-Distant,N
558,KARNES CITY ISD,128901,G,Non-metropolitan Stable,33,Town-Remote,N
559,KATHERINE ANNE PORTER SCHOOL,105801,I,Charter School Districts,32,Town-Distant,Y
560,KATY ISD,101914,B,Major Suburban,21,Suburb-Large,N
561,KAUFFMAN LEADERSHIP ACADEMY,126801,I,Charter School Districts,31,Town-Fringe,Y
562,KAUFMAN ISD,129903,D,Other Central City Suburban,32,Town-Distant,N
563,KEENE ISD,126906,G,Non-metropolitan Stable,31,Town-Fringe,N
564,KELLER ISD,220907,B,Major Suburban,11,City-Large,N
565,KELTON ISD,242905,H,Rural,43,Rural-Remote,N
566,KEMP ISD,129904,D,Other Central City Suburban,42,Rural-Distant,N
567,KENEDY COUNTY WIDE CSD,131001,H,Rural,43,Rural-Remote,N
568,KENEDY ISD,128902,H,Rural,41,Rural-Fringe,N
569,KENNARD ISD,113906,H,Rural,43,Rural-Remote,N
570,KENNEDALE ISD,220914,B,Major Suburban,21,Suburb-Large,N
571,KERENS ISD,175907,H,Rural,43,Rural-Remote,N
572,KERMIT ISD,248901,D,Other Central City Suburban,32,Town-Distant,N
573,KERRVILLE ISD,133903,E,Independent Town,33,Town-Remote,N
574,KI CHARTER ACADEMY,105803,I,Charter School Districts,23,Suburb-Small,Y
575,KILGORE ISD,92902,D,Other Central City Suburban,31,Town-Fringe,N
576,KILLEEN ISD,14906,C,Other Central City,12,City-Midsize,N
577,KINGSVILLE ISD,137901,E,Independent Town,32,Town-Distant,N
578,KIPP TEXAS PUBLIC SCHOOLS,227820,I,Charter School Districts,11,City-Large,Y
579,KIRBYVILLE CISD,121905,G,Non-metropolitan Stable,43,Rural-Remote,N
580,KLEIN ISD,101915,B,Major Suburban,21,Suburb-Large,N
581,KLONDIKE ISD,58905,H,Rural,43,Rural-Remote,N
582,KNIPPA ISD,232901,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
583,KNOX CITY-O'BRIEN CISD,138902,H,Rural,43,Rural-Remote,N
584,KOPPERL ISD,18907,H,Rural,43,Rural-Remote,N
585,KOUNTZE ISD,100903,G,Non-metropolitan Stable,42,Rural-Distant,N
586,KRESS ISD,219905,H,Rural,42,Rural-Distant,N
587,KRUM ISD,61905,D,Other Central City Suburban,31,Town-Fringe,N
588,LA ACADEMIA DE ESTRELLAS,57839,I,Charter School Districts,11,City-Large,Y
589,LA FE PREPARATORY SCHOOL,71807,I,Charter School Districts,11,City-Large,Y
590,LA FERIA ISD,31905,G,Non-metropolitan Stable,22,Suburb-Midsize,N
591,LA GLORIA ISD,125906,H,Rural,42,Rural-Distant,N
592,LA GRANGE ISD,75902,E,Independent Town,33,Town-Remote,N
593,LA JOYA ISD,108912,C,Other Central City,21,Suburb-Large,N
594,LA PORTE ISD,101916,B,Major Suburban,21,Suburb-Large,N
595,LA PRYOR ISD,254902,H,Rural,43,Rural-Remote,N
596,LA VEGA ISD,161906,D,Other Central City Suburban,22,Suburb-Midsize,N
597,LA VERNIA ISD,247903,E,Independent Town,42,Rural-Distant,N
598,LA VILLA ISD,108914,H,Rural,21,Suburb-Large,N
599,LACKLAND ISD,15913,G,Non-metropolitan Stable,21,Suburb-Large,N
600,LAGO VISTA ISD,227912,G,Non-metropolitan Stable,31,Town-Fringe,N
601,LAKE DALLAS ISD,61912,D,Other Central City Suburban,21,Suburb-Large,N
602,LAKE GRANBURY ACADEMY CHARTER SCHO,111801,I,Charter School Districts,41,Rural-Fringe,Y
603,LAKE TRAVIS ISD,227913,B,Major Suburban,21,Suburb-Large,N
604,LAKE WORTH ISD,220910,B,Major Suburban,21,Suburb-Large,N
605,LAMAR CISD,79901,C,Other Central City,21,Suburb-Large,N
606,LAMESA ISD,58906,G,Non-metropolitan Stable,33,Town-Remote,N
607,LAMPASAS ISD,141901,D,Other Central City Suburban,41,Rural-Fringe,N
608,LANCASTER ISD,57913,B,Major Suburban,21,Suburb-Large,N
609,LANEVILLE ISD,201903,H,Rural,42,Rural-Distant,N
610,LAPOYNOR ISD,107910,H,Rural,42,Rural-Distant,N
611,LAREDO ISD,240901,D,Other Central City Suburban,11,City-Large,N
612,LASARA ISD,245901,H,Rural,42,Rural-Distant,N
613,LATEXO ISD,113905,H,Rural,42,Rural-Distant,N
614,LAZBUDDIE ISD,185904,H,Rural,43,Rural-Remote,N
615,LEADERSHIP PREP SCHOOL,61804,I,Charter School Districts,21,Suburb-Large,Y
616,LEAKEY ISD,193902,H,Rural,43,Rural-Remote,N
617,LEANDER ISD,246913,B,Major Suburban,21,Suburb-Large,N
618,LEARY ISD,19914,H,Rural,41,Rural-Fringe,N
619,LEFORS ISD,90902,H,Rural,42,Rural-Distant,N
620,LEGACY PREPARATORY,57846,I,Charter School Districts,21,Suburb-Large,Y
621,LEGACY SCHOOL OF SPORT SCIENCES,101874,I,Charter School Districts,21,Suburb-Large,Y
622,LEGGETT ISD,187906,H,Rural,42,Rural-Distant,N
623,LEON ISD,145911,H,Rural,43,Rural-Remote,N
624,LEONARD ISD,74909,H,Rural,42,Rural-Distant,N
625,LEVELLAND ISD,110902,G,Non-metropolitan Stable,32,Town-Distant,N
626,LEVERETTS CHAPEL ISD,201904,H,Rural,42,Rural-Distant,N
627,LEWISVILLE ISD,61902,B,Major Suburban,21,Suburb-Large,N
628,LEXINGTON ISD,144902,G,Non-metropolitan Stable,43,Rural-Remote,N
629,LIBERTY HILL ISD,246908,D,Other Central City Suburban,41,Rural-Fringe,N
630,LIBERTY ISD,146906,G,Non-metropolitan Stable,32,Town-Distant,N
631,LIBERTY-EYLAU ISD,19908,G,Non-metropolitan Stable,13,City-Small,N
632,LIFE SCHOOL,57807,I,Charter School Districts,21,Suburb-Large,Y
633,LIGHTHOUSE CHARTER SCHOOL,15825,I,Charter School Districts,11,City-Large,Y
634,LINDALE ISD,212903,D,Other Central City Suburban,31,Town-Fringe,N
635,LINDEN-KILDARE CISD,34905,H,Rural,43,Rural-Remote,N
636,LINDSAY ISD,49907,H,Rural,42,Rural-Distant,N
637,LINGLEVILLE ISD,72909,H,Rural,42,Rural-Distant,N
638,LIPAN ISD,111902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
639,LITTLE CYPRESS-MAURICEVILLE CISD,181908,E,Independent Town,22,Suburb-Midsize,N
640,LITTLE ELM ISD,61914,D,Other Central City Suburban,21,Suburb-Large,N
641,LITTLEFIELD ISD,140904,G,Non-metropolitan Stable,32,Town-Distant,N
642,LIVINGSTON ISD,187907,E,Independent Town,41,Rural-Fringe,N
643,LLANO ISD,150901,G,Non-metropolitan Stable,41,Rural-Fringe,N
644,LOCKHART ISD,28902,D,Other Central City Suburban,31,Town-Fringe,N
645,LOCKNEY ISD,77902,H,Rural,43,Rural-Remote,N
646,LOHN ISD,160905,H,Rural,43,Rural-Remote,N
647,LOMETA ISD,141902,H,Rural,43,Rural-Remote,N
648,LONDON ISD,178906,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
649,LONE OAK ISD,116906,G,Non-metropolitan Stable,42,Rural-Distant,N
650,LONE STAR LANGUAGE ACADEMY,43802,I,Charter School Districts,11,City-Large,Y
651,LONGVIEW ISD,92903,C,Other Central City,13,City-Small,N
652,LOOP ISD,83902,H,Rural,43,Rural-Remote,N
653,LORAINE ISD,168902,H,Rural,42,Rural-Distant,N
654,LORENA ISD,161907,G,Non-metropolitan Stable,41,Rural-Fringe,N
655,LORENZO ISD,54902,H,Rural,42,Rural-Distant,N
656,LOS FRESNOS CISD,31906,D,Other Central City Suburban,22,Suburb-Midsize,N
657,LOUISE ISD,241906,H,Rural,42,Rural-Distant,N
658,LOVEJOY ISD,43919,G,Non-metropolitan Stable,21,Suburb-Large,N
659,LOVELADY ISD,113903,H,Rural,43,Rural-Remote,N
660,LUBBOCK ISD,152901,C,Other Central City,11,City-Large,N
661,LUBBOCK-COOPER ISD,152906,D,Other Central City Suburban,41,Rural-Fringe,N
662,LUEDERS-AVOCA ISD,127905,H,Rural,42,Rural-Distant,N
663,LUFKIN ISD,3903,E,Independent Town,33,Town-Remote,N
664,LULING ISD,28903,E,Independent Town,32,Town-Distant,N
665,LUMBERTON ISD,100907,D,Other Central City Suburban,22,Suburb-Midsize,N
666,LUMIN EDUCATION,57805,I,Charter School Districts,11,City-Large,Y
667,LYFORD CISD,245902,G,Non-metropolitan Stable,32,Town-Distant,N
668,LYTLE ISD,7904,G,Non-metropolitan Stable,31,Town-Fringe,N
669,MABANK ISD,129905,D,Other Central City Suburban,32,Town-Distant,N
670,MADISONVILLE CISD,154901,G,Non-metropolitan Stable,32,Town-Distant,N
671,MAGNOLIA ISD,170906,D,Other Central City Suburban,41,Rural-Fringe,N
672,MALAKOFF ISD,107906,G,Non-metropolitan Stable,33,Town-Remote,N
673,MALONE ISD,109908,H,Rural,42,Rural-Distant,N
674,MALTA ISD,19910,H,Rural,42,Rural-Distant,N
675,MANARA ACADEMY,57844,I,Charter School Districts,12,City-Midsize,Y
676,MANOR ISD,227907,B,Major Suburban,41,Rural-Fringe,N
677,MANSFIELD ISD,220908,B,Major Suburban,21,Suburb-Large,N
678,MARATHON ISD,22902,H,Rural,43,Rural-Remote,N
679,MARBLE FALLS ISD,27904,E,Independent Town,32,Town-Distant,N
680,MARFA ISD,189901,H,Rural,43,Rural-Remote,N
681,MARION ISD,94904,D,Other Central City Suburban,21,Suburb-Large,N
682,MARLIN ISD,73903,H,Rural,32,Town-Distant,N
683,MARSHALL ISD,102902,E,Independent Town,32,Town-Distant,N
684,MART ISD,161908,H,Rural,42,Rural-Distant,N
685,MARTINS MILL ISD,234905,H,Rural,42,Rural-Distant,N
686,MARTINSVILLE ISD,174909,H,Rural,43,Rural-Remote,N
687,MASON ISD,157901,H,Rural,43,Rural-Remote,N
688,MATAGORDA ISD,158904,H,Rural,43,Rural-Remote,N
689,MATHIS ISD,205904,G,Non-metropolitan Stable,32,Town-Distant,N
690,MAUD ISD,19903,H,Rural,42,Rural-Distant,N
691,MAY ISD,25905,H,Rural,43,Rural-Remote,N
692,MAYPEARL ISD,70915,D,Other Central City Suburban,42,Rural-Distant,N
693,MCALLEN ISD,108906,D,Other Central City Suburban,12,City-Midsize,N
694,MCCAMEY ISD,231901,H,Rural,43,Rural-Remote,N
695,MCDADE ISD,11905,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
696,MCGREGOR ISD,161909,G,Non-metropolitan Stable,31,Town-Fringe,N
697,MCKINNEY ISD,43907,D,Other Central City Suburban,22,Suburb-Midsize,N
698,MCLEAN ISD,90903,H,Rural,43,Rural-Remote,N
699,MCLEOD ISD,34906,H,Rural,42,Rural-Distant,N
700,MCMULLEN COUNTY ISD,162904,H,Rural,43,Rural-Remote,N
701,MEADOW ISD,223902,H,Rural,42,Rural-Distant,N
702,MEADOWLAND CHARTER DISTRICT,130801,I,Charter School Districts,41,Rural-Fringe,Y
703,MEDINA ISD,10901,H,Rural,43,Rural-Remote,N
704,MEDINA VALLEY ISD,163908,B,Major Suburban,41,Rural-Fringe,N
705,MELISSA ISD,43908,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
706,MEMPHIS ISD,96904,H,Rural,43,Rural-Remote,N
707,MENARD ISD,164901,H,Rural,43,Rural-Remote,N
708,MERCEDES ISD,108907,D,Other Central City Suburban,21,Suburb-Large,N
709,MERIDIAN ISD,18902,H,Rural,43,Rural-Remote,N
710,MERIDIAN WORLD SCHOOL LLC,246801,I,Charter School Districts,12,City-Midsize,Y
711,MERKEL ISD,221904,D,Other Central City Suburban,42,Rural-Distant,N
712,MESQUITE ISD,57914,B,Major Suburban,21,Suburb-Large,N
713,MEXIA ISD,147903,G,Non-metropolitan Stable,33,Town-Remote,N
714,MEYERPARK ELEMENTARY,101855,I,Charter School Districts,11,City-Large,Y
715,MEYERSVILLE ISD,62906,H,Rural,42,Rural-Distant,N
716,MIAMI ISD,197902,H,Rural,43,Rural-Remote,N
717,MIDLAND ACADEMY CHARTER SCHOOL,165802,I,Charter School Districts,12,City-Midsize,Y
718,MIDLAND ISD,165901,C,Other Central City,12,City-Midsize,N
719,MIDLOTHIAN ISD,70908,C,Other Central City,21,Suburb-Large,N
720,MIDVALLEY ACADEMY CHARTER DISTRICT,108804,I,Charter School Districts,21,Suburb-Large,Y
721,MIDWAY ISD,39905,H,Rural,42,Rural-Distant,N
722,MIDWAY ISD,161903,D,Other Central City Suburban,22,Suburb-Midsize,N
723,MILANO ISD,166903,H,Rural,42,Rural-Distant,N
724,MILDRED ISD,175910,E,Independent Town,42,Rural-Distant,N
725,MILES ISD,200902,H,Rural,42,Rural-Distant,N
726,MILFORD ISD,70909,H,Rural,42,Rural-Distant,N
727,MILLER GROVE ISD,112907,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
728,MILLSAP ISD,184904,D,Other Central City Suburban,42,Rural-Distant,N
729,MINEOLA ISD,250903,E,Independent Town,32,Town-Distant,N
730,MINERAL WELLS ISD,182903,E,Independent Town,32,Town-Distant,N
731,MISSION CISD,108908,D,Other Central City Suburban,13,City-Small,N
732,MONAHANS-WICKETT-PYOTE ISD,238902,D,Other Central City Suburban,32,Town-Distant,N
733,MONTAGUE ISD,169908,H,Rural,42,Rural-Distant,N
