DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,DAD_POST,D_RATING,OUTCOME,ASVAB_STATUS
24901,BROOKS COUNTY ISD,24,BROOKS,2,N,N,0,C,Meets Requirements,Meets Requirements
25901,BANGS ISD,25,BROWN,15,N,N,0,B,Meets Requirements,Meets Requirements
25902,BROWNWOOD ISD,25,BROWN,15,N,N,0,C,Needs Assistance,Meets Requirements
25904,BLANKET ISD,25,BROWN,15,N,N, ,Met Standard,Meets Requirements,Not Reported
25905,MAY ISD,25,BROWN,15,N,N,0,B,Meets Requirements,Not Reported
25906,ZEPHYR ISD,25,BROWN,15,N,N, ,Met Standard,Meets Requirements,Meets Requirements
25908,BROOKESMITH ISD,25,BROWN,15,N,N, ,Met Standard,Meets Requirements,Not Reported
25909,EARLY ISD,25,BROWN,15,N,N,0,A,Meets Requirements,Meets Requirements
26901,CALDWELL ISD,26,BURLESON,6,N,N,0,B,Needs Assistance,Meets Requirements
26902,SOMERVILLE ISD,26,BURLESON,6,N,N,0,D,Meets Requirements,Not Reported
26903,SNOOK ISD,26,BURLESON,6,N,N,0,C,Meets Requirements,Not Reported
27903,BURNET CISD,27,BURNET,13,N,N,0,C,Needs Assistance,Meets Requirements
27904,MARBLE FALLS ISD,27,BURNET,13,N,N,0,B,Needs Assistance,Meets Requirements
28902,LOCKHART ISD,28,CALDWELL,13,N,N,0,C,Needs Intervention,Not Reported
28903,LULING ISD,28,CALDWELL,13,N,N,0,D,Needs Assistance,Not Reported
28906,PRAIRIE LEA ISD,28,CALDWELL,13,N,N, ,Met Standard,Meets Requirements,Meets Requirements
29901,CALHOUN COUNTY ISD,29,CALHOUN,3,N,N, ,Not Rated: Harvey Provision,Needs Assistance,Meets Requirements
30901,CROSS PLAINS ISD,30,CALLAHAN,14,N,N,0,C,Meets Requirements,Not Reported
30902,CLYDE CISD,30,CALLAHAN,14,N,N,0,B,Meets Requirements,Meets Requirements
30903,BAIRD ISD,30,CALLAHAN,14,N,N,0,B,Meets Requirements,Not Given
30906,EULA ISD,30,CALLAHAN,14,N,N,0,B,Meets Requirements,Meets Requirements
31901,BROWNSVILLE ISD,31,CAMERON,1,N,N,0,B,Meets Requirements,Not Reported
31903,HARLINGEN CISD,31,CAMERON,1,N,N,1,B,Meets Requirements,Not Reported
31905,LA FERIA ISD,31,CAMERON,1,N,N,0,B,Meets Requirements,Not Reported
