,DISTNAME,DISTRICT_id,District 2022-23 Total Students Count,District 2023 Staff: All Staff Total Full Time Equiv Count,District 2022-23 African American Students Percent,District 2022-23 American Indian Students Percent,District 2022-23 Asian Students Percent,District 2022-23 Hispanic Students Percent,District 2022-23 Pacific Islander Students Percent,District 2022-23 White Students Percent,District 2022-23 Two or More Races Students Percent,District 2022-23 Economically Disadvantaged Students Percent,District 2022-23 Title I Students percent,District 2022-23 Special Education Students Percent,District 2022-23 Section 504 Students Percent,District 2022-23 Bilingual/ESL Education Students Percent,District 2022-23 Emergent Bilingual/English Learner Students Percent,District 2022-23 Homeless Students Percent,District 2022-23 Immigrant Students Percent,District 2022-23 Migrant Students Percent,District 2022-23 Military Connected Students Percent,District 2022-23 Foster Care Students Percent,District 2022-23 Gifted & Talented Education Students Percent,District 2023 Staff: Teacher Student Ratio
465,SCHERTZ-CIBOLO-U CITY ISD,94902,15528,1825.9,11.7,0.3,1.8,46.7,0.3,31.8,7.4,35.5,14.9,15.8,8.7,4.5,4.4,0.6,0.9,0.0,37.5,0.3,6.9,15.6
466,NAVARRO ISD,94903,2180,288.0,1.8,0.0,1.1,41.9,0.3,52.2,2.7,39.5,32.6,14.2,9.4,5.0,5.4,0.5,0.0,0.0,14.1,0.9,6.6,14.1
467,MARION ISD,94904,1527,215.6,1.9,0.4,0.1,42.8,0.3,51.9,2.6,42.2,69.5,17.0,8.0,6.6,7.1,0.4,0.0,0.0,3.9,2.0,7.3,12.2
468,ABERNATHY ISD,95901,835,128.8,1.7,0.0,0.1,50.9,0.0,45.7,1.6,48.3,99.8,11.0,10.2,2.3,2.3,1.0,0.0,1.2,1.7,0.0,15.8,11.6
469,COTTON CENTER ISD,95902,100,30.4,0.0,0.0,0.0,55.0,0.0,44.0,1.0,61.0,100.0,21.0,13.0,4.0,4.0,0.0,0.0,2.0,0.0,7.0,0.0,6.9
470,HALE CENTER ISD,95903,585,112.8,2.4,0.9,0.0,72.6,0.3,22.2,1.5,67.0,100.0,10.4,9.1,9.1,9.1,0.2,0.0,0.0,0.9,1.2,0.9,10.5
471,PETERSBURG ISD,95904,272,58.7,0.7,0.4,0.0,69.9,0.0,27.9,1.1,74.6,100.0,16.9,5.1,6.3,6.3,1.5,0.0,0.0,1.8,0.0,9.6,9.8
472,PLAINVIEW ISD,95905,4662,679.6,3.4,0.2,0.3,81.6,0.1,13.5,0.9,82.8,100.0,12.2,6.7,11.4,11.0,1.2,0.0,0.6,0.4,0.6,8.6,14.2
473,MEMPHIS ISD,96904,432,120.6,8.1,0.0,0.0,60.6,0.0,29.4,1.9,82.2,100.0,23.4,12.7,14.4,15.0,1.2,0.0,2.3,0.9,0.5,10.0,9.8
474,TURKEY-QUITAQUE ISD,96905,183,38.9,1.6,0.0,0.0,27.9,0.0,69.4,1.1,52.5,98.9,8.7,5.5,6.6,6.6,0.0,0.0,0.0,2.7,0.0,3.3,7.3
475,HAMILTON ISD,97902,817,140.3,0.2,0.0,0.2,20.8,0.0,77.6,1.1,53.4,99.9,12.0,16.4,7.3,7.3,6.2,0.6,0.0,0.1,0.4,7.7,10.0
476,HICO ISD,97903,623,96.7,1.1,0.5,0.3,21.3,0.0,75.0,1.8,52.8,100.0,13.3,9.5,11.2,11.2,0.6,0.2,1.3,0.3,0.0,2.9,11.2
477,GRUVER ISD,98901,441,90.0,0.2,0.2,0.2,47.6,0.0,51.0,0.7,45.8,100.0,10.9,7.0,20.0,20.0,0.0,1.6,0.2,0.0,0.0,9.1,8.6
478,PRINGLE-MORSE CISD,98903,107,29.7,0.0,0.0,0.0,64.5,0.0,34.6,0.9,61.7,100.0,9.3,3.7,33.6,33.6,2.8,4.7,2.8,0.0,0.0,0.0,6.5
479,SPEARMAN ISD,98904,743,147.2,0.0,0.1,0.0,67.0,0.0,32.4,0.4,58.8,70.0,9.0,5.9,21.8,21.9,1.3,2.4,5.5,2.4,0.0,5.0,9.7
480,CHILLICOTHE ISD,99902,202,46.2,2.0,1.0,0.0,52.5,0.5,40.1,4.0,87.1,100.0,24.3,9.4,21.3,21.3,0.0,1.0,1.5,0.0,0.0,5.9,8.9
481,QUANAH ISD,99903,462,114.1,4.3,0.9,0.6,34.0,0.0,55.2,5.0,73.4,99.8,20.8,6.7,2.4,2.4,5.8,0.0,0.0,1.5,0.2,4.8,8.0
482,KOUNTZE ISD,100903,1115,213.9,14.2,0.2,0.5,9.2,0.0,71.4,4.5,65.6,70.6,17.7,10.6,4.2,4.2,4.1,0.2,0.0,0.1,0.2,7.0,11.9
483,SILSBEE ISD,100904,2772,417.6,19.1,0.2,0.3,7.9,0.1,66.2,6.2,66.6,71.2,17.9,13.3,2.3,2.3,2.2,0.0,0.0,3.9,0.1,6.6,13.5
484,HARDIN-JEFFERSON ISD,100905,2697,364.6,13.4,0.1,1.3,11.9,0.1,70.0,3.2,42.8,48.8,14.9,11.7,4.0,4.0,1.1,0.1,0.0,1.7,0.0,5.4,15.1
485,LUMBERTON ISD,100907,4195,539.1,0.5,0.5,0.8,11.4,0.1,83.9,2.7,37.1,32.8,13.9,12.3,2.5,2.6,0.5,0.2,0.0,1.0,0.2,4.9,15.3
486,WEST HARDIN COUNTY CISD,100908,552,105.2,0.9,0.0,0.0,5.4,0.0,91.8,1.8,69.7,99.6,19.2,15.0,0.2,0.9,0.4,0.2,0.0,3.8,0.2,8.0,10.7
524,ALDINE ISD,101902,60074,8673.4,21.6,0.2,0.9,74.1,0.2,2.0,1.1,91.6,99.8,9.7,5.2,43.9,44.8,0.4,5.5,0.0,0.2,0.5,4.5,17.2
525,ALIEF ISD,101903,40329,6130.2,25.3,0.7,10.0,60.3,0.1,3.4,0.3,86.6,100.0,12.2,2.7,54.3,53.9,2.4,8.0,0.0,0.3,0.1,4.6,13.6
526,CHANNELVIEW ISD,101905,9520,1438.5,8.9,0.9,0.6,83.4,0.1,5.2,1.0,84.6,68.9,12.4,3.1,41.0,43.2,0.3,3.3,0.1,0.3,0.1,5.1,15.8
527,CROSBY ISD,101906,6717,786.7,13.3,0.3,0.3,49.3,0.0,33.7,3.0,62.3,99.7,13.1,6.6,19.8,19.3,0.6,0.6,0.0,4.0,0.1,5.5,16.0
528,CYPRESS-FAIRBANKS ISD,101907,118010,15654.0,20.4,0.5,9.7,45.2,0.1,20.6,3.6,58.0,46.8,11.7,4.2,17.9,18.9,0.6,4.3,0.0,3.8,0.2,7.2,15.0
529,DEER PARK ISD,101908,12263,1946.5,2.7,0.1,1.0,62.3,0.0,31.7,2.2,51.5,42.5,15.6,8.5,16.4,14.7,0.7,0.8,0.0,1.9,0.1,7.0,14.6
530,GALENA PARK ISD,101910,21392,3312.8,14.8,0.2,0.5,80.7,0.0,3.1,0.6,88.3,100.0,12.6,3.7,40.8,41.5,0.8,3.2,0.1,0.4,0.2,6.7,15.0
531,GOOSE CREEK CISD,101911,24431,3817.2,16.5,0.3,1.5,64.5,0.1,14.9,2.2,77.6,50.4,14.9,7.5,21.8,21.8,1.0,1.7,0.5,0.2,0.1,7.3,14.5
532,HOUSTON ISD,101912,189934,24451.4,21.6,0.2,4.8,61.8,0.1,9.8,1.7,79.5,91.0,9.2,4.0,37.8,37.0,3.8,5.5,0.1,0.2,0.0,14.0,18.0
533,HUMBLE ISD,101913,48758,6273.5,26.0,0.2,2.8,38.3,0.5,28.9,3.2,48.4,19.3,12.0,8.5,11.3,11.6,1.4,0.9,0.0,10.9,0.3,7.7,14.5
534,KATY ISD,101914,92667,12311.5,14.2,0.2,16.7,36.3,0.1,28.2,4.3,43.4,17.0,14.8,5.0,23.0,23.5,0.8,6.1,0.0,3.9,0.2,8.5,14.3
535,KLEIN ISD,101915,53712,7541.9,16.7,0.4,7.7,44.9,0.1,26.4,3.9,53.7,13.3,12.5,7.1,20.8,20.3,0.3,3.0,0.0,1.5,0.5,6.7,14.6
536,LA PORTE ISD,101916,7100,1056.4,6.7,0.3,1.1,54.2,0.2,34.6,2.9,60.1,100.0,14.0,6.9,12.3,12.3,1.6,0.2,0.0,0.4,0.4,8.4,15.2
537,PASADENA ISD,101917,48726,8110.5,8.0,0.1,2.9,82.9,0.1,5.2,0.8,85.5,67.1,13.4,5.8,32.6,35.0,0.7,3.4,0.2,0.4,0.0,6.2,12.7
538,SPRING ISD,101919,34114,5047.7,38.0,0.9,2.0,51.6,0.3,4.7,2.5,84.2,69.6,10.6,3.1,30.7,31.1,0.7,4.0,0.0,4.2,0.3,6.5,15.1
539,SPRING BRANCH ISD,101920,33649,4561.5,5.6,0.5,6.6,56.8,0.0,27.6,2.9,56.7,47.7,12.3,6.9,38.6,37.7,1.7,5.7,0.0,0.1,0.1,11.9,15.5
540,TOMBALL ISD,101921,21426,2667.7,5.9,0.2,8.7,33.7,0.1,46.8,4.6,31.4,19.1,10.2,7.5,13.9,13.6,0.1,3.6,0.0,0.6,0.2,10.7,15.6
541,SHELDON ISD,101924,10990,1520.8,26.1,0.4,0.4,67.1,0.1,4.2,1.7,87.0,45.1,10.9,2.6,35.2,34.3,0.2,1.3,0.0,1.4,0.1,5.2,16.8
542,HUFFMAN ISD,101925,3717,530.0,3.6,0.3,0.5,28.7,0.1,64.9,1.9,43.6,45.3,16.6,9.3,8.2,8.7,0.9,0.6,0.2,7.6,0.2,5.3,15.3
543,KARNACK ISD,102901,130,37.0,37.7,0.0,0.0,10.0,0.0,44.6,7.7,89.2,100.0,13.1,6.9,5.4,5.4,6.9,0.0,0.0,2.3,4.6,6.2,10.3
544,MARSHALL ISD,102902,5057,726.3,34.1,0.7,0.6,38.3,0.1,22.7,3.5,79.9,100.0,8.7,5.7,20.5,20.7,1.2,1.3,0.0,2.6,0.7,7.0,15.1
545,WASKOM ISD,102903,825,146.7,16.7,0.1,0.4,26.1,0.0,49.6,7.2,67.8,100.0,11.9,5.0,9.1,9.8,1.2,0.6,0.1,1.6,0.2,5.1,11.4
546,HALLSVILLE ISD,102904,19818,802.1,15.7,0.5,1.4,39.2,0.2,39.0,4.1,54.3,18.8,16.3,11.3,6.4,8.0,1.1,0.1,0.0,2.7,0.2,3.4,
547,HARLETON ISD,102905,705,120.9,1.0,0.0,0.1,8.2,0.0,86.2,4.4,48.5,47.1,13.5,9.6,1.6,1.6,1.4,0.0,0.0,5.1,0.4,9.1,10.8
548,ELYSIAN FIELDS ISD,102906,813,148.0,11.1,0.0,0.0,5.8,0.0,80.7,2.5,46.9,45.9,14.1,5.8,0.9,0.9,0.9,0.0,0.0,0.6,0.7,8.2,10.4
549,CHANNING ISD,103901,161,28.6,0.6,0.0,0.0,47.8,0.0,49.7,1.9,70.2,100.0,11.2,7.5,13.7,13.7,0.0,0.0,0.6,5.0,0.6,2.5,11.2
550,HARTLEY ISD,103902,230,40.4,0.0,0.0,0.0,68.3,0.0,31.7,0.0,60.9,100.0,8.7,2.6,31.3,31.3,0.4,0.0,0.9,0.0,0.0,6.5,12.1
551,HASKELL CISD,104901,539,104.7,4.5,0.9,0.4,42.1,0.0,48.6,3.5,66.4,100.0,17.3,5.9,1.7,1.7,4.3,0.0,0.6,3.7,1.1,2.6,9.0
552,RULE ISD,104903,133,32.6,0.8,1.5,0.0,41.4,0.0,54.9,1.5,82.7,100.0,14.3,14.3,6.0,6.0,4.5,0.0,0.0,3.0,0.0,7.5,8.6
553,PAINT CREEK ISD,104907,100,28.3,2.0,0.0,0.0,41.0,0.0,53.0,4.0,74.0,100.0,10.0,14.0,0.0,0.0,8.0,0.0,0.0,18.0,3.0,2.0,6.5
558,SAN MARCOS CISD,105902,8447,1263.7,4.2,0.2,0.8,73.0,0.1,19.7,2.0,78.9,64.5,15.4,7.4,17.0,14.6,1.4,1.1,0.1,0.6,0.4,16.3,14.4
559,DRIPPING SPRINGS ISD,105904,8375,1029.8,0.9,0.2,2.8,20.4,0.1,70.7,5.0,9.0,22.6,12.7,13.2,4.9,5.0,0.2,0.8,0.0,0.9,0.2,6.3,15.2
560,WIMBERLEY ISD,105905,2700,362.4,1.0,0.6,0.4,25.9,0.1,69.0,3.0,31.8,7.2,12.8,13.3,6.2,6.6,0.1,0.4,0.0,0.7,0.5,7.6,14.9
561,HAYS CISD,105906,22297,3058.7,3.1,0.2,1.3,66.0,0.0,26.5,3.0,48.0,45.1,14.9,10.7,20.5,20.6,0.9,1.6,0.0,8.5,0.3,6.4,14.9
562,CANADIAN ISD,106901,829,148.1,0.2,0.5,0.6,48.0,0.0,49.0,1.7,44.8,64.2,11.1,12.8,14.4,14.4,0.0,0.1,0.0,0.4,0.2,5.8,10.6
563,ATHENS ISD,107901,3099,430.8,12.6,0.2,0.7,49.7,0.0,31.5,5.3,78.7,100.0,16.3,6.9,23.8,24.6,1.3,0.9,0.0,1.1,0.9,2.7,15.0
564,BROWNSBORO ISD,107902,2620,392.5,5.3,0.4,0.4,18.4,0.3,72.6,2.6,61.5,100.0,16.5,11.0,5.6,6.1,1.8,0.2,0.0,3.8,0.5,5.9,13.8
565,CROSS ROADS ISD,107904,560,97.7,3.4,0.0,0.2,13.4,0.2,79.3,3.6,62.7,100.0,13.6,12.0,4.5,4.5,0.5,0.0,0.0,0.5,0.7,5.4,11.2
566,EUSTACE ISD,107905,1727,278.0,1.3,0.2,0.3,16.1,0.0,78.3,3.8,64.9,100.0,16.9,8.6,4.2,4.2,0.1,0.0,0.0,2.4,0.6,3.9,14.0
567,MALAKOFF ISD,107906,1433,261.3,8.8,0.1,0.3,21.8,0.1,63.9,4.9,71.8,99.4,13.6,8.0,6.0,6.4,0.0,0.1,0.0,4.3,0.5,5.1,12.1
568,TRINIDAD ISD,107907,133,35.3,13.5,0.0,0.0,18.8,0.0,54.9,12.8,80.5,100.0,10.5,10.5,3.8,3.8,0.0,0.0,0.0,0.0,0.8,24.1,6.5
569,MURCHISON ISD,107908,175,37.6,2.3,0.0,0.0,22.3,0.0,73.7,1.7,65.1,100.0,17.1,12.0,9.7,9.7,0.0,0.0,0.0,0.6,0.0,7.4,9.7
570,LAPOYNOR ISD,107910,491,77.3,6.7,0.2,0.0,9.8,0.0,82.7,0.6,52.7,100.0,13.4,7.3,1.2,1.2,0.0,0.0,0.0,0.2,0.0,5.3,11.1
576,DONNA ISD,108902,13165,2256.9,0.0,0.0,0.0,99.6,0.0,0.3,0.0,95.9,100.0,10.5,3.4,58.0,55.9,6.1,2.1,4.1,0.8,0.1,7.8,14.7
577,EDCOUCH-ELSA ISD,108903,4366,745.2,0.1,0.0,0.0,99.7,0.0,0.2,0.0,93.9,100.0,11.7,4.3,27.0,27.8,0.9,0.8,5.4,1.2,0.2,9.6,15.0
578,EDINBURG CISD,108904,33911,4819.6,0.3,0.0,0.6,97.8,0.0,1.0,0.2,82.5,99.3,7.8,5.0,37.4,37.6,0.2,1.2,3.0,2.1,0.1,6.7,14.7
579,HIDALGO ISD,108905,3010,516.8,0.0,0.0,0.0,100.0,0.0,0.0,0.0,88.8,100.0,9.6,5.0,81.8,68.0,0.0,2.7,4.3,0.5,0.0,8.8,14.5
580,MCALLEN ISD,108906,20399,3360.2,0.4,0.1,1.2,93.5,0.0,4.5,0.4,72.5,95.7,14.3,10.0,38.3,36.0,1.4,2.4,1.8,0.4,0.1,11.5,13.6
581,MERCEDES ISD,108907,4457,715.9,0.2,0.1,0.1,97.9,0.0,1.5,0.2,91.6,100.0,11.6,7.1,29.1,31.4,0.3,1.3,1.7,0.4,0.6,11.6,14.3
582,MISSION CISD,108908,14502,2264.2,0.2,0.0,0.0,98.9,0.0,0.9,0.0,86.7,100.0,10.3,7.9,38.2,38.8,0.1,1.4,0.8,1.2,0.1,11.7,14.9
583,PHARR-SAN JUAN-ALAMO ISD,108909,30003,4531.4,0.1,0.0,0.1,98.9,0.0,0.9,0.0,92.5,100.0,10.1,5.0,50.4,44.9,0.2,1.4,1.7,0.2,0.1,6.1,14.5
584,PROGRESO ISD,108910,1444,291.9,0.0,0.0,0.0,99.5,0.0,0.5,0.0,99.9,100.0,9.1,6.9,66.9,60.6,0.1,1.6,11.0,0.5,0.0,10.0,14.8
585,SHARYLAND ISD,108911,9732,1350.0,0.6,0.1,1.6,92.9,0.0,4.5,0.4,68.6,100.0,9.0,6.6,35.0,35.9,0.5,3.0,0.7,1.3,0.1,10.1,15.7
586,LA JOYA ISD,108912,24804,4018.1,0.0,0.0,0.0,99.9,0.0,0.1,0.0,93.6,98.2,12.0,4.7,55.1,57.3,3.2,1.1,3.6,0.6,0.1,10.0,13.9
587,WESLACO ISD,108913,16491,2221.4,0.2,0.0,0.1,98.2,0.0,1.4,0.1,82.7,97.0,10.7,3.9,33.5,26.7,1.4,0.8,1.9,0.8,0.1,5.7,16.1
588,LA VILLA ISD,108914,566,117.0,0.0,0.0,0.0,99.8,0.0,0.2,0.0,93.6,100.0,9.2,8.1,17.3,18.2,6.7,0.0,15.7,2.1,0.0,7.1,11.5
589,MONTE ALTO ISD,108915,865,134.1,0.0,0.0,0.0,98.4,0.0,1.5,0.1,91.1,99.8,9.6,4.9,33.8,35.1,2.3,0.3,3.6,0.5,0.0,1.4,14.1
590,VALLEY VIEW ISD,108916,3739,609.9,0.0,0.0,0.1,99.8,0.0,0.2,0.0,96.2,100.0,10.7,3.7,72.6,72.7,0.0,2.3,2.2,0.4,0.0,9.5,15.5
591,ABBOTT ISD,109901,286,43.8,1.4,0.0,0.0,14.3,0.0,82.5,1.7,26.9,100.0,13.3,7.0,0.3,0.3,0.3,0.0,0.0,0.3,0.7,7.0,11.3
592,BYNUM ISD,109902,189,42.6,3.2,1.1,1.1,33.3,0.0,59.8,1.6,58.7,100.0,25.4,6.9,9.5,10.1,6.3,0.5,0.0,1.6,0.0,4.8,9.0
593,COVINGTON ISD,109903,319,56.6,0.0,0.9,0.0,22.9,0.6,72.1,3.4,61.4,100.0,16.9,6.0,6.3,6.3,0.0,0.0,0.0,2.8,0.0,5.3,13.0
594,HILLSBORO ISD,109904,2011,301.3,10.3,0.3,0.9,60.2,0.0,23.9,4.5,76.4,100.0,16.9,4.3,18.2,18.6,2.2,1.9,0.2,4.3,0.8,3.9,13.9
595,HUBBARD ISD,109905,447,74.0,11.9,0.0,0.2,21.3,0.0,61.5,5.1,62.4,100.0,15.2,11.9,1.8,2.0,0.0,0.0,0.0,7.4,0.0,8.3,11.6
596,ITASCA ISD,109907,651,107.3,5.8,0.2,0.6,51.5,0.0,39.3,2.6,66.5,100.0,13.4,4.5,17.1,17.2,1.2,0.0,1.1,0.8,3.2,8.3,11.4
597,MALONE ISD,109908,128,29.8,3.1,0.0,0.0,78.9,0.8,13.3,3.9,86.7,0.0,15.6,2.3,51.6,57.8,21.9,0.0,3.9,0.0,0.0,2.3,10.7
598,MOUNT CALM ISD,109910,168,38.2,4.8,0.0,0.0,31.0,0.0,61.3,3.0,76.8,98.8,18.5,8.9,2.4,4.8,0.0,0.0,0.0,1.2,0.0,5.4,8.9
599,WHITNEY ISD,109911,1522,261.1,4.8,0.3,0.1,22.8,0.1,68.1,3.8,65.4,51.0,18.2,10.2,7.6,7.6,5.5,0.0,0.2,2.8,0.5,5.2,13.0
600,AQUILLA ISD,109912,323,51.5,0.3,0.0,0.0,11.1,0.0,86.1,2.5,50.5,100.0,16.4,11.8,5.3,5.3,0.0,0.0,0.9,2.5,0.3,9.6,11.4
601,BLUM ISD,109913,338,64.6,2.1,0.3,0.0,11.2,0.0,83.4,3.0,53.6,100.0,15.7,10.1,2.1,2.1,0.9,0.0,0.0,1.2,0.0,3.8,11.1
602,PENELOPE ISD,109914,202,39.3,2.0,0.0,0.0,32.7,0.0,63.9,1.5,56.9,100.0,18.8,7.9,8.4,8.4,0.0,0.0,1.0,0.0,0.0,2.0,9.6
603,ANTON ISD,110901,170,35.2,5.3,0.6,0.0,70.0,0.0,21.2,2.9,80.6,100.0,12.9,8.2,2.9,3.5,2.4,0.0,0.0,7.1,0.6,1.2,8.7
604,LEVELLAND ISD,110902,2691,450.1,2.8,0.2,0.2,74.2,0.0,21.5,1.1,76.4,100.0,19.6,8.2,8.8,10.1,0.7,0.6,5.9,0.9,0.7,5.5,12.4
605,ROPES ISD,110905,546,86.6,0.5,0.2,0.2,26.9,0.0,71.8,0.4,34.6,100.0,7.0,8.8,1.8,1.8,1.5,0.0,0.0,0.0,0.0,8.2,10.6
606,SMYER ISD,110906,442,62.8,0.5,0.0,0.0,45.0,0.0,52.9,1.6,55.2,100.0,12.7,10.6,3.2,3.2,2.0,0.0,0.0,4.1,0.0,7.5,10.7
607,SUNDOWN ISD,110907,592,99.2,0.3,0.0,0.7,58.4,0.0,38.9,1.7,50.2,43.9,10.1,10.6,3.7,3.7,0.0,0.0,0.0,0.8,0.5,11.0,10.1
608,WHITHARRAL ISD,110908,234,34.8,0.9,0.4,0.0,35.9,0.0,60.3,2.6,46.2,100.0,8.5,7.3,0.9,0.9,3.4,0.0,0.4,3.0,0.9,4.7,11.6
610,GRANBURY ISD,111901,7954,1119.3,1.3,0.3,0.9,27.4,0.4,66.6,3.1,54.9,100.0,14.8,11.5,10.3,10.5,1.2,1.1,0.0,1.8,0.1,8.4,14.2
611,LIPAN ISD,111902,467,66.5,0.4,0.0,0.0,13.9,0.2,83.7,1.7,54.6,100.0,10.3,9.6,4.3,4.3,1.1,0.0,0.0,2.8,0.0,3.4,11.3
612,TOLAR ISD,111903,878,116.7,0.8,0.5,0.1,6.8,0.3,89.7,1.7,35.6,99.4,11.5,9.1,0.7,0.6,0.0,0.1,0.0,4.2,0.2,3.4,12.8
613,SULPHUR SPRINGS ISD,112901,4361,721.8,10.0,0.3,1.0,30.4,0.1,53.5,4.6,65.1,48.3,15.0,16.5,18.0,15.7,1.0,0.2,0.0,0.5,0.3,5.3,12.1
614,CUMBY COLLEGIATE ISD,112905,431,78.0,0.5,2.1,0.2,11.4,0.0,82.6,3.2,56.4,100.0,16.9,12.3,4.2,4.6,4.4,0.0,0.0,0.0,0.2,6.0,10.7
615,NORTH HOPKINS ISD,112906,516,95.0,0.2,0.6,0.0,25.8,0.2,70.2,3.1,61.2,100.0,12.6,13.8,13.4,14.1,2.9,0.0,0.0,0.2,1.7,7.9,10.3
616,MILLER GROVE ISD,112907,317,51.5,0.0,0.3,0.3,14.5,0.3,82.0,2.5,47.9,100.0,12.9,11.7,4.4,4.4,6.3,0.0,0.0,8.2,0.0,0.9,10.6
617,COMO-PICKTON CISD,112908,734,129.9,1.4,0.3,0.7,42.2,0.0,53.3,2.2,64.6,99.9,17.7,11.4,24.0,24.4,1.0,0.7,0.8,3.3,1.5,4.6,11.5
618,SALTILLO ISD,112909,248,49.1,2.8,0.0,0.0,27.4,0.0,66.9,2.8,58.1,99.6,14.5,13.7,11.3,11.3,0.0,1.2,0.0,0.0,0.0,2.8,10.1
619,SULPHUR BLUFF ISD,112910,227,41.4,1.3,0.0,0.4,18.1,0.0,78.0,2.2,55.1,100.0,12.8,12.8,4.4,5.3,0.0,0.0,0.0,1.8,0.0,5.3,10.8
620,CROCKETT ISD,113901,1203,204.1,45.0,0.2,0.5,33.2,0.1,17.2,3.8,89.2,100.0,13.8,9.7,18.4,19.0,1.0,0.0,0.4,0.4,0.0,4.0,13.4
621,GRAPELAND ISD,113902,615,111.4,21.0,0.2,1.1,9.4,0.0,64.4,3.9,62.9,1.3,14.3,2.9,0.5,0.5,0.0,0.0,0.2,1.1,0.0,4.7,12.1
622,LOVELADY ISD,113903,538,85.9,11.3,0.2,0.2,11.9,0.0,73.6,2.8,48.9,53.0,13.8,11.7,1.3,1.3,0.0,0.0,0.0,0.0,0.9,5.9,11.8
623,LATEXO ISD,113905,497,88.5,1.2,0.4,1.6,20.5,0.0,74.0,2.2,56.3,100.0,13.3,9.3,5.6,5.8,0.0,0.0,0.0,4.2,0.4,6.0,11.4
624,KENNARD ISD,113906,258,47.7,12.0,0.0,0.0,5.8,0.0,77.9,4.3,66.7,100.0,17.4,13.2,0.4,0.4,6.6,0.0,0.0,1.6,0.4,7.0,11.8
625,BIG SPRING ISD,114901,3510,572.2,4.8,0.1,1.0,68.0,0.2,22.8,3.0,72.9,97.2,18.4,5.0,6.4,6.6,0.7,0.2,0.1,2.3,0.5,4.7,13.1
626,COAHOMA ISD,114902,1095,139.9,0.5,0.3,0.4,43.9,0.0,53.3,1.6,39.5,51.9,12.1,8.1,3.3,3.5,0.0,0.0,0.0,0.0,0.2,4.2,14.7
627,FORSAN ISD,114904,753,103.9,0.7,0.4,2.1,35.9,0.0,58.4,2.5,39.2,47.7,8.6,7.8,3.1,3.2,0.0,0.3,0.0,0.5,0.0,6.4,12.7
628,FT HANCOCK ISD,115901,377,83.1,0.5,0.0,0.3,96.3,0.0,2.1,0.8,89.7,100.0,11.7,3.4,73.5,60.7,0.0,2.1,6.1,4.5,0.0,5.8,11.0
629,SIERRA BLANCA ISD,115902,116,26.5,3.4,0.0,0.0,69.0,0.0,26.7,0.9,83.6,99.1,19.8,0.9,8.6,8.6,0.0,0.0,2.6,0.0,0.0,0.0,8.9
630,DELL CITY ISD,115903,61,25.9,0.0,0.0,0.0,65.6,0.0,31.1,3.3,80.3,100.0,19.7,1.6,27.9,27.9,6.6,0.0,3.3,1.6,0.0,9.8,7.0
631,CADDO MILLS ISD,116901,2642,374.8,3.7,0.6,0.4,22.4,0.0,69.7,3.3,30.0,43.1,16.5,13.5,5.6,5.7,0.5,0.4,0.0,4.4,0.3,3.9,13.7
632,CELESTE ISD,116902,519,91.6,1.9,0.8,0.0,22.5,0.0,69.9,4.8,61.3,68.6,17.3,7.1,5.2,5.2,0.2,0.0,0.0,1.7,0.0,4.6,11.3
633,COMMERCE ISD,116903,1517,239.7,25.0,0.4,1.5,24.1,0.9,41.9,6.3,74.8,47.5,17.7,9.0,12.5,12.7,0.5,1.0,0.0,4.0,0.4,5.9,12.6
634,GREENVILLE ISD,116905,5422,842.8,15.9,0.3,0.6,49.2,0.2,28.5,5.2,75.2,68.3,14.9,10.0,27.5,26.8,0.6,0.4,0.0,2.7,0.1,7.7,13.9
635,LONE OAK ISD,116906,1083,167.6,1.8,0.5,0.5,15.4,0.2,78.8,3.0,45.2,47.6,16.1,14.4,3.8,3.8,0.0,0.0,0.0,0.3,2.6,7.7,13.8
636,QUINLAN ISD,116908,2784,384.0,0.9,0.5,0.3,38.6,0.2,56.0,3.4,76.2,27.5,16.2,8.9,19.2,19.5,1.3,0.6,0.0,0.8,1.0,3.6,16.2
637,WOLFE CITY ISD,116909,720,108.9,3.2,0.3,0.1,24.7,0.0,68.9,2.8,58.2,48.2,13.9,12.5,10.1,10.3,0.3,0.1,0.0,1.1,0.6,7.9,11.7
638,CAMPBELL ISD,116910,295,61.5,2.4,0.0,1.0,32.2,0.0,61.7,2.7,67.1,49.5,22.0,7.1,14.2,15.3,0.0,0.0,0.0,6.4,0.0,3.1,8.3
639,BLAND ISD,116915,773,122.2,1.2,0.8,0.3,46.3,0.0,49.2,2.3,61.2,71.9,16.2,8.2,22.6,22.6,0.3,0.0,0.0,0.4,0.4,7.9,12.7
640,BOLES ISD,116916,547,101.8,2.6,0.9,0.5,20.3,0.0,72.9,2.7,59.8,100.0,15.5,13.3,5.3,6.2,9.3,0.2,0.0,8.8,0.2,6.8,11.2
641,BORGER ISD,117901,2477,426.7,2.1,1.0,0.6,46.1,0.0,46.1,4.0,59.4,69.2,14.9,8.0,9.4,10.4,0.0,0.3,0.0,0.8,0.5,5.4,12.9
642,SANFORD-FRITCH ISD,117903,688,142.8,1.0,0.9,0.4,9.9,0.0,84.2,3.6,49.0,44.9,16.7,4.4,0.6,0.6,1.9,0.0,0.1,0.6,0.0,3.8,10.5
643,PLEMONS-STINNETT-PHILLIPS CISD,117904,573,99.8,0.0,0.7,0.0,23.7,0.2,70.2,5.2,38.9,100.0,16.4,8.4,1.4,1.4,0.7,0.0,0.0,1.0,0.0,7.5,10.0
